repo_owner,repo_name,repo_license,license_category,rows,source_url_count,sample_source_url
Gopal-Dahale,qiskit-qulacs,Apache-2.0,permissive,132,5,https://github.com/Gopal-Dahale/qiskit-qulacs/blob/main/benchmarks/cpu/qiskit/benchmarks.py
eth-sri,abstraqt,MIT,permissive,132,3,https://github.com/eth-sri/abstraqt/blob/publish/abstraqt/experiments/generate_circuits.py
pyRiemann,pyRiemann-qiskit,BSD-3-Clause,permissive,132,5,https://github.com/pyRiemann/pyRiemann-qiskit/blob/main/pyriemann_qiskit/autoencoders.py
Simula-COMPLEX,QNRI-machine-learning,Apache-2.0,permissive,126,10,https://github.com/Simula-COMPLEX/QNRI-machine-learning/blob/main/classifier_example.py
haiqu-ai,rivet,Apache-2.0,permissive,126,8,https://github.com/haiqu-ai/rivet/blob/main/examples/big_shadows/big_shadow_state_tomography.ipynb
qi-rub,traq,MIT,permissive,126,2,https://github.com/qi-rub/traq/blob/main/examples/matrix_search/matrix_search-qiskit.py
rocdawn12,double_cross_resonance_gate,Apache-2.0,permissive,126,2,https://github.com/rocdawn12/double_cross_resonance_gate/blob/main/base_1.py
KOSASIH,Qubot-One,MIT,permissive,120,11,https://github.com/KOSASIH/Qubot-One/blob/main/src/quantum/quantum_algorithms.py
KOSASIH,quantum_ml_library,MIT,permissive,120,10,https://github.com/KOSASIH/quantum_ml_library/blob/main/algorithms/qnn.py
Nicofero,CITMAGA,Apache-2.0,permissive,120,4,https://github.com/Nicofero/CITMAGA/blob/main/hhl_functions.py
beefy,quantum-simulator,Unlicense,permissive,120,8,https://github.com/beefy/quantum-simulator/blob/main/src/examples/bell_state_2_qubit.py
qiskit-community,qiskit-cold-atom,Apache-2.0,permissive,120,6,https://github.com/qiskit-community/qiskit-cold-atom/blob/main/qiskit_cold_atom/applications/fermi_hubbard.py
srivathsan04,BumbleBee,MIT,permissive,120,7,https://github.com/srivathsan04/BumbleBee/blob/main/back-end/Lib/site-packages/qiskit/circuit/library/generalized_gates/uc.py
QBugs,qsmells-study-data,MIT,permissive,114,10,https://github.com/QBugs/qsmells-study-data/blob/master/samples/idq/idq-fixed.py
Qiskit,qiskit-addon-cutting,Apache-2.0,permissive,114,9,https://github.com/Qiskit/qiskit-addon-cutting/blob/main/qiskit_addon_cutting/cut_finding/cco_utils.py
Qualition,quick,Apache-2.0,permissive,114,4,https://github.com/Qualition/quick/blob/main/quick/circuit/circuit.py
SeanRossHarvey,qcai-quantum-computing-exercises,MIT,permissive,114,1,https://github.com/SeanRossHarvey/qcai-quantum-computing-exercises/blob/main/tests/test_task_01.py
aaronngx,Leukemia-Feature-Selection-,MIT,permissive,114,11,https://github.com/aaronngx/Leukemia-Feature-Selection-/blob/main/.venv/Lib/site-packages/pennylane_qiskit/converter.py
mafaldaramoa,ceo-adapt-vqe,Apache-2.0,permissive,114,2,https://github.com/mafaldaramoa/ceo-adapt-vqe/blob/main/adaptvqe/circuits.py
mingyoungjeng,quantum-convolutional-classifier,MIT,permissive,114,7,https://github.com/mingyoungjeng/quantum-convolutional-classifier/blob/main/src/qcc/quantum/qiskit/ansatz/c2q.py
xaviervasques,hephaistos,Apache-2.0,permissive,114,2,https://github.com/xaviervasques/hephaistos/blob/main/classification/classification_qpu.py
Aries-Serpent,gh_COPILOT,MIT,permissive,108,9,https://github.com/Aries-Serpent/gh_COPILOT/blob/main/quantum/algorithms/clustering.py
ElhamTorabian,Molecular-representation-of-quantum-circuits,Apache-2.0,permissive,108,2,https://github.com/ElhamTorabian/Molecular-representation-of-quantum-circuits/blob/main/QSVM.py
KOSASIH,Chronostic-Nexus,Apache-2.0,permissive,108,5,https://github.com/KOSASIH/Chronostic-Nexus/blob/main/GravitonBasedStorage/src/graviton_based_storage/graviton_based_storage.py
PennyLaneAI,pennylane-lightning,Apache-2.0,permissive,108,12,https://github.com/PennyLaneAI/pennylane-lightning/blob/main/bin/utils.py
QCRepository,qcr-circuit-examples,Apache-2.0,permissive,108,16,https://github.com/QCRepository/qcr-circuit-examples/blob/develop/amplitude_estimation_circuits/1_original_brassard_et_al/amplitude_estimation_class.py
Quantinuum,peptide-binding-classification-on-quantum-computers,MIT,permissive,108,6,https://github.com/Quantinuum/peptide-binding-classification-on-quantum-computers/blob/main/average_folds.py
QuantumQuixxote,BloomNet,Apache-2.0,permissive,108,12,https://github.com/QuantumQuixxote/BloomNet/blob/main/DJ.py
SMU-Quantum,quantum-optimization-algorithms,MIT,permissive,108,8,https://github.com/SMU-Quantum/quantum-optimization-algorithms/blob/main/CVaR_QAOA/cvar_qaoa.py
evmckinney9,transpile_benchy,MIT,permissive,108,3,https://github.com/evmckinney9/transpile_benchy/blob/main/src/transpile_benchy/interfaces/qiskit_circuits.py
followthesapper,ATLAS-Q,MIT,permissive,108,12,https://github.com/followthesapper/ATLAS-Q/blob/ATLAS-Q/benchmarks/adapter_comprehensive_benchmark.py
lanl,qubit-efficient-entanglement-spectroscopy,BSD-3-Clause,permissive,108,1,https://github.com/lanl/qubit-efficient-entanglement-spectroscopy/blob/main/entSpectroscopy.py
microsoft,qir-testing,MIT,permissive,108,1,https://github.com/microsoft/qir-testing/blob/main/python/src/circuits.py
mit-han-lab,torchquantum,MIT,permissive,108,11,https://github.com/mit-han-lab/torchquantum/blob/main/examples/quest/utils/circ_dag_converter.py
pncln,qisOrbit,MIT,permissive,108,4,https://github.com/pncln/qisOrbit/blob/main/main.py
quantumjim,data4papers,Apache-2.0,permissive,108,6,https://github.com/quantumjim/data4papers/blob/main/enhanced-repetition-codes/qiskit-qec/src/qiskit_qec/circuits/repetition_code.py
sadpig70,QNS,MIT,permissive,108,7,https://github.com/sadpig70/QNS/blob/main/benchmarks/ablation_study.py
xuanvinh1997,qforge,MIT,permissive,108,7,https://github.com/xuanvinh1997/qforge/blob/main/.claude/worktrees/agent-af1ba140/benchmark_qml.py
GabrielPontolillo,QuCheck_with_QOIN,MIT,permissive,102,14,https://github.com/GabrielPontolillo/QuCheck_with_QOIN/blob/main/case_studies/grovers_algorithm/grover_lower_register_minus_property.py
